,data,db,exp,prank,rank,reg,report,sj,zb
93,-4.9,分省年度数据,单位国内生产总值电耗指一定时期内，一个国家或地区每生产一个单位的国内生产总值所消耗的电力。计算公式为：单位国内生产总值电耗=全社会用电量/国内生产总值。,2.242032,98.0,北京市,cn=E0103&zb=A0707&reg=110000&sj=2015,2015年,单位地区生产总值电耗(等价值)_同比增长(%)
94,,分省年度数据,单位国内生产总值电耗指一定时期内，一个国家或地区每生产一个单位的国内生产总值所消耗的电力。计算公式为：单位国内生产总值电耗=全社会用电量/国内生产总值。,2.242032,98.0,北京市,cn=E0103&zb=A0707&reg=110000&sj=2014,2014年,单位地区生产总值电耗(等价值)_同比增长(%)
95,3.6,年度数据,产值利润率是指一定时期的销售利润总额与总产值之比，它表明单位产值获得的利润，反映产值与利润的关系。产值是以货币形式表现的工业企业在报告期内生产的工业产品和提供工业性劳务活动的总价值量。产值利润率可以反映企业是否增产增收。,3.6112290000000002,90.0,全国,cn=C01&zb=A0F0202&sj=2015,2015年,内资建筑业企业产值利润率(%)
96,3.6,年度数据,产值利润率是指一定时期的销售利润总额与总产值之比，它表明单位产值获得的利润，反映产值与利润的关系。产值是以货币形式表现的工业企业在报告期内生产的工业产品和提供工业性劳务活动的总价值量。产值利润率可以反映企业是否增产增收。,3.6112290000000002,90.0,全国,cn=C01&zb=A0F0202&sj=2014,2014年,内资建筑业企业产值利润率(%)
97,6.7,年度数据,产值利税率指报告期已实现的利润、税金总额(包括利润总额、产品销售税金及附加和应交增值税)占同期全部工业总产值的百分比，计算公式：产值利税率(％)=(利税总额/工业总产值)*100％,3.6112290000000002,90.0,全国,cn=C01&zb=A0F0202&sj=2015,2015年,内资建筑业企业产值利税率(%)
98,6.8,年度数据,产值利税率指报告期已实现的利润、税金总额(包括利润总额、产品销售税金及附加和应交增值税)占同期全部工业总产值的百分比，计算公式：产值利税率(％)=(利税总额/工业总产值)*100％,3.6112290000000002,90.0,全国,cn=C01&zb=A0F0202&sj=2014,2014年,内资建筑业企业产值利税率(%)
99,,月度数据,利润总额指企业在一定会计期间的经营成果，是生产经营过程中各种收入扣除各种耗费后的盈余，反映企业在报告期内实现的盈亏总额。根据会计“利润表”中“利润总额”项目的本期金额数填报。,3.0016309999999997,84.0,全国,cn=A01&zb=A020L0F&sj=201703,2017年3月,燃气生产和供应业利润总额_累计值(亿元)
100,,月度数据,利润总额指企业在一定会计期间的经营成果，是生产经营过程中各种收入扣除各种耗费后的盈余，反映企业在报告期内实现的盈亏总额。根据会计“利润表”中“利润总额”项目的本期金额数填报。,3.0016309999999997,84.0,全国,cn=A01&zb=A020L0F&sj=201703,2017年3月,水的生产和供应业利润总额_累计值(亿元)
101,,月度数据,利润总额指企业在一定会计期间的经营成果，是生产经营过程中各种收入扣除各种耗费后的盈余，反映企业在报告期内实现的盈亏总额。根据会计“利润表”中“利润总额”项目的本期金额数填报。,3.0016309999999997,84.0,全国,cn=A01&zb=A020M0G&sj=201703,2017年3月,燃气生产和供应业利润总额_累计值(亿元)
102,,月度数据,利润总额指企业在一定会计期间的经营成果，是生产经营过程中各种收入扣除各种耗费后的盈余，反映企业在报告期内实现的盈亏总额。根据会计“利润表”中“利润总额”项目的本期金额数填报。,3.0016309999999997,84.0,全国,cn=A01&zb=A020M0G&sj=201703,2017年3月,水的生产和供应业利润总额_累计值(亿元)
